dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
gaussian,sobolev,hamming_m32_b64,hamming,4096,64,32,64,10,40,1.760,0.578,30.276,29.921,36.769,33029.3,186943.2,0.096875,459.464,15.18,1
gaussian,sobolev,hamming_m32_b64,hamming,4096,64,32,64,10,80,1.760,0.578,32.808,32.545,37.698,30480.1,165665.8,0.093750,459.464,14.00,1
gaussian,sobolev,hamming_m32_b64,hamming,4096,64,32,64,10,160,1.760,0.578,39.548,39.201,42.945,25286.0,143652.4,0.103125,459.464,11.62,1
gaussian,sobolev,hamming_m32_b64,hamming,4096,64,32,64,10,4096,1.760,0.578,27.831,27.777,29.570,35931.0,56754.7,0.062500,459.464,16.51,1
gaussian,identity,posterior_m32_b64,posterior,4096,64,32,64,10,10,1.759,0.578,57.606,57.539,59.298,17359.2,76333.0,0.203125,460.347,7.99,1
gaussian,identity,posterior_m32_b64,posterior,4096,64,32,64,10,20,1.759,0.578,58.000,57.954,60.899,17241.3,76152.8,0.275000,460.347,7.94,1
gaussian,identity,posterior_m32_b64,posterior,4096,64,32,64,10,40,1.759,0.578,60.018,59.555,63.491,16661.6,55479.5,0.309375,460.347,7.67,1
gaussian,identity,posterior_m32_b64,posterior,4096,64,32,64,10,80,1.759,0.578,66.442,63.459,66.979,15050.8,71115.9,0.309375,460.347,6.93,1
gaussian,identity,posterior_m32_b64,posterior,4096,64,32,64,10,160,1.759,0.578,68.417,68.098,70.563,14616.3,67102.6,0.265625,460.347,6.73,1
gaussian,identity,posterior_m32_b64,posterior,4096,64,32,64,10,4096,1.759,0.578,27.663,27.713,29.377,36149.3,58137.2,0.196875,460.347,16.64,1
gaussian,matern,posterior_m32_b64,posterior,4096,64,32,64,10,10,1.759,0.578,56.604,55.746,58.402,17666.5,77624.7,0.109375,456.555,8.07,1
gaussian,matern,posterior_m32_b64,posterior,4096,64,32,64,10,20,1.759,0.578,122.511,57.955,62.402,8162.5,75944.4,0.078125,456.555,3.73,1
gaussian,matern,posterior_m32_b64,posterior,4096,64,32,64,10,40,1.759,0.578,155.649,61.923,676.474,6424.7,74841.7,0.050000,456.555,2.93,1
gaussian,matern,posterior_m32_b64,posterior,4096,64,32,64,10,80,1.759,0.578,64.821,64.963,66.882,15427.2,59085.5,0.037500,456.555,7.04,1
gaussian,matern,posterior_m32_b64,posterior,4096,64,32,64,10,160,1.759,0.578,69.710,69.379,72.483,14345.2,67748.0,0.021875,456.555,6.55,1
gaussian,matern,posterior_m32_b64,posterior,4096,64,32,64,10,4096,1.759,0.578,27.567,27.681,28.993,36275.2,57644.6,0.006250,456.555,16.56,1
gaussian,sobolev,posterior_m32_b64,posterior,4096,64,32,64,10,10,1.759,0.578,56.077,55.650,59.362,17832.6,77969.7,0.100000,459.464,8.19,1
gaussian,sobolev,posterior_m32_b64,posterior,4096,64,32,64,10,20,1.759,0.578,58.214,57.026,59.970,17177.9,58890.5,0.109375,459.464,7.89,1
gaussian,sobolev,posterior_m32_b64,posterior,4096,64,32,64,10,40,1.759,0.578,60.920,60.226,62.914,16414.9,76118.0,0.112500,459.464,7.54,1
gaussian,sobolev,posterior_m32_b64,posterior,4096,64,32,64,10,80,1.759,0.578,62.325,62.243,65.378,16044.8,72392.8,0.103125,459.464,7.37,1
gaussian,sobolev,posterior_m32_b64,posterior,4096,64,32,64,10,160,1.759,0.578,67.130,66.978,69.923,14896.6,67514.8,0.084375,459.464,6.84,1
gaussian,sobolev,posterior_m32_b64,posterior,4096,64,32,64,10,4096,1.759,0.578,28.722,27.809,29.569,34816.4,57163.5,0.062500,459.464,16.00,1
gaussian,identity,hamming_full,hamming,4096,64,64,64,10,10,1.858,1.078,28.022,27.553,33.025,35686.1,194886.7,0.087500,460.347,16.43,1
gaussian,identity,hamming_full,hamming,4096,64,64,64,10,20,1.858,1.078,28.721,28.289,34.337,34817.6,192153.0,0.134375,460.347,16.03,1
gaussian,identity,hamming_full,hamming,4096,64,64,64,10,40,1.858,1.078,30.741,30.049,38.082,32529.6,186525.8,0.203125,460.347,14.97,1
gaussian,identity,hamming_full,hamming,4096,64,64,64,10,80,1.858,1.078,34.483,34.242,38.785,28999.5,162411.0,0.309375,460.347,13.35,1
gaussian,identity,hamming_full,hamming,4096,64,64,64,10,160,1.858,1.078,43.394,42.785,47.202,23044.8,136962.3,0.443750,460.347,10.61,1
gaussian,identity,hamming_full,hamming,4096,64,64,64,10,4096,1.858,1.078,35.294,35.202,36.961,28333.1,32452.6,1.000000,460.347,13.04,1
gaussian,matern,hamming_full,hamming,4096,64,64,64,10,10,1.858,1.078,27.621,27.041,33.281,36204.3,194280.9,0.053125,456.555,16.53,1
gaussian,matern,hamming_full,hamming,4096,64,64,64,10,20,1.858,1.078,28.095,27.553,34.402,35593.5,193341.8,0.068750,456.555,16.25,1
gaussian,matern,hamming_full,hamming,4096,64,64,64,10,40,1.858,1.078,29.326,28.929,35.682,34099.3,157548.5,0.128125,456.555,15.57,1
gaussian,matern,hamming_full,hamming,4096,64,64,64,10,80,1.858,1.078,32.992,32.801,37.186,30310.1,165256.0,0.218750,456.555,13.84,1
gaussian,matern,hamming_full,hamming,4096,64,64,64,10,160,1.858,1.078,41.170,41.217,44.706,24289.8,138787.1,0.350000,456.555,11.09,1
gaussian,matern,hamming_full,hamming,4096,64,64,64,10,4096,1.858,1.078,36.102,35.937,37.506,27699.0,38371.5,1.000000,456.555,12.65,1
gaussian,sobolev,hamming_full,hamming,4096,64,64,64,10,10,1.858,1.078,27.127,26.497,32.993,36863.6,196070.0,0.087500,459.464,16.94,1
gaussian,sobolev,hamming_full,hamming,4096,64,64,64,10,20,1.858,1.078,28.492,27.201,34.593,35097.5,192931.5,0.112500,459.464,16.13,1
gaussian,sobolev,hamming_full,hamming,4096,64,64,64,10,40,1.858,1.078,29.861,29.825,35.425,33488.3,185693.5,0.175000,459.464,15.39,1
gaussian,sobolev,hamming_full,hamming,4096,64,64,64,10,80,1.858,1.078,32.640,31.970,37.569,30637.0,165283.3,0.281250,459.464,14.08,1
gaussian,sobolev,hamming_full,hamming,4096,64,64,64,10,160,1.858,1.078,41.319,40.641,45.185,24202.2,138748.6,0.434375,459.464,11.12,1
gaussian,sobolev,hamming_full,hamming,4096,64,64,64,10,4096,1.858,1.078,35.215,35.233,36.610,28396.7,37605.3,1.000000,459.464,13.05,1
gaussian,identity,posterior_full,posterior,4096,64,64,64,10,10,1.892,1.078,58.144,58.242,60.866,17198.6,58019.3,0.203125,460.347,7.92,1
gaussian,identity,posterior_full,posterior,4096,64,64,64,10,20,1.892,1.078,59.891,58.787,61.667,16696.9,76666.5,0.296875,460.347,7.69,1
gaussian,identity,posterior_full,posterior,4096,64,64,64,10,40,1.892,1.078,61.481,61.315,64.483,16265.1,75292.5,0.440625,460.347,7.49,1
gaussian,identity,posterior_full,posterior,4096,64,64,64,10,80,1.892,1.078,64.808,65.506,68.547,15430.3,69912.7,0.568750,460.347,7.10,1
gaussian,identity,posterior_full,posterior,4096,64,64,64,10,160,1.892,1.078,71.225,71.490,74.595,14040.1,64252.5,0.715625,460.347,6.46,1
gaussian,identity,posterior_full,posterior,4096,64,64,64,10,4096,1.892,1.078,36.222,35.521,36.898,27607.2,37446.1,1.000000,460.347,12.71,1
gaussian,matern,posterior_full,posterior,4096,64,64,64,10,10,1.892,1.078,59.114,56.450,59.139,16916.4,78551.5,0.203125,456.555,7.72,1
gaussian,matern,posterior_full,posterior,4096,64,64,64,10,20,1.892,1.078,57.544,57.507,60.610,17377.9,73467.3,0.275000,456.555,7.93,1
gaussian,matern,posterior_full,posterior,4096,64,64,64,10,40,1.892,1.078,64.654,59.971,62.883,15466.8,74853.1,0.393750,456.555,7.06,1
gaussian,matern,posterior_full,posterior,4096,64,64,64,10,80,1.892,1.078,126.605,64.195,66.979,7898.6,67688.5,0.543750,456.555,3.61,1
