dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,recall_at_k,exact_avg_us,speedup_vs_exact
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,20,2.730,0.570,1.560,1.567,1.665,641192.6,0.259375,376.793,241.60
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,40,2.730,0.570,2.155,2.154,2.511,464077.5,0.296875,376.793,174.86
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,80,2.730,0.570,3.162,3.154,3.531,316255.5,0.346875,376.793,119.16
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,160,2.730,0.570,4.915,4.908,5.346,203469.1,0.359375,376.793,76.67
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,4096,2.730,0.570,77.759,76.804,83.628,12860.3,0.506250,376.793,4.85
rough,sobolev,gray_m32_b32,gray,4096,64,32,32,10,10,2.730,0.570,1.047,1.049,1.102,955081.3,0.231250,395.869,378.09
rough,sobolev,gray_m32_b32,gray,4096,64,32,32,10,20,2.730,0.570,1.551,1.535,1.712,644771.3,0.271875,395.869,255.25
rough,sobolev,gray_m32_b32,gray,4096,64,32,32,10,40,2.730,0.570,2.136,2.142,2.527,468274.4,0.315625,395.869,185.38
rough,sobolev,gray_m32_b32,gray,4096,64,32,32,10,80,2.730,0.570,3.100,3.093,3.620,322577.4,0.371875,395.869,127.70
rough,sobolev,gray_m32_b32,gray,4096,64,32,32,10,160,2.730,0.570,4.751,4.705,5.220,210462.6,0.400000,395.869,83.32
rough,sobolev,gray_m32_b32,gray,4096,64,32,32,10,4096,2.730,0.570,78.634,75.822,84.873,12717.2,0.646875,395.869,5.03
rough,identity,gray_full,gray,4096,64,64,64,10,10,4.703,1.078,2.338,1.433,2.363,427704.6,0.206250,384.877,164.61
rough,identity,gray_full,gray,4096,64,64,64,10,20,4.703,1.078,1.729,1.711,1.857,578285.4,0.246875,384.877,222.57
rough,identity,gray_full,gray,4096,64,64,64,10,40,4.703,1.078,2.337,2.310,2.663,427944.8,0.293750,384.877,164.71
rough,identity,gray_full,gray,4096,64,64,64,10,80,4.703,1.078,3.316,3.301,3.773,301534.1,0.350000,384.877,116.05
rough,identity,gray_full,gray,4096,64,64,64,10,160,4.703,1.078,5.191,5.125,5.746,192634.2,0.406250,384.877,74.14
rough,identity,gray_full,gray,4096,64,64,64,10,4096,4.703,1.078,92.460,89.816,107.678,10815.4,1.000000,384.877,4.16
rough,matern,gray_full,gray,4096,64,64,64,10,10,4.703,1.078,1.270,1.238,1.384,787556.6,0.218750,376.793,296.75
rough,matern,gray_full,gray,4096,64,64,64,10,20,4.703,1.078,1.979,1.698,1.862,505186.1,0.278125,376.793,190.35
rough,matern,gray_full,gray,4096,64,64,64,10,40,4.703,1.078,2.264,2.273,2.558,441647.3,0.325000,376.793,166.41
rough,matern,gray_full,gray,4096,64,64,64,10,80,4.703,1.078,4.013,3.448,5.427,249180.4,0.375000,376.793,93.89
rough,matern,gray_full,gray,4096,64,64,64,10,160,4.703,1.078,5.214,5.077,6.025,191792.5,0.431250,376.793,72.27
rough,matern,gray_full,gray,4096,64,64,64,10,4096,4.703,1.078,91.387,88.536,102.555,10942.5,1.000000,376.793,4.12
rough,sobolev,gray_full,gray,4096,64,64,64,10,10,4.703,1.078,1.193,1.178,1.292,838201.0,0.212500,395.869,331.82
rough,sobolev,gray_full,gray,4096,64,64,64,10,20,4.703,1.078,1.623,1.658,1.772,616226.0,0.268750,395.869,243.95
rough,sobolev,gray_full,gray,4096,64,64,64,10,40,4.703,1.078,2.226,2.231,2.547,449198.5,0.321875,395.869,177.82
rough,sobolev,gray_full,gray,4096,64,64,64,10,80,4.703,1.078,3.261,3.243,3.662,306672.0,0.371875,395.869,121.40
rough,sobolev,gray_full,gray,4096,64,64,64,10,160,4.703,1.078,5.106,5.065,5.830,195866.0,0.431250,395.869,77.54
rough,sobolev,gray_full,gray,4096,64,64,64,10,4096,4.703,1.078,88.964,87.965,100.263,11240.5,1.000000,395.869,4.45
